Migdal Epic Israel - Stage 3
GC
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Stage 3,Time,Gap
Finished,32,28,42-2,Igor Stepanov,RUS,no,,M,Team 3M / Klinika29.ru,Men,45:04.8,4:44:00.0,4:39:59.0,3:10:27.0,13:19:30.8,+2:41:09.6
Finished,33,29,22-1,Joshua Lecointre,FRA,yes,10011015039,M,TEAM VOSGES VTT UCI (TVV),Men,43:11.3,5:10:27.0,4:30:11.0,2:56:11.0,13:20:00.3,+2:41:39.1
Finished,33,29,22-2,Vincent Sibille,FRA,yes,10008151519,M,TEAM VOSGES VTT UCI (TVV),Men,43:11.3,5:10:27.0,4:30:11.0,2:56:11.0,13:20:00.3,+2:41:39.1
Finished,34,4,102-1,Jovana Crnogorac,SRB,yes,10007299232,F,BIKE WAY RACING (BWR),Women,46:52.9,5:17:14.0,4:16:48.0,3:01:44.0,13:22:38.9,+2:44:17.7
Finished,34,4,102-2,Sophie Von Berswordt-Wallrabe,NED,yes,10008748471,F,BIKE WAY RACING (BWR),Women,46:52.9,5:17:14.0,4:16:48.0,3:01:44.0,13:22:38.9,+2:44:17.7
Finished,35,30,27-1,Tobias Sindlinger,GER,yes,10013769536,M,MTB-News.de,Men,43:40.5,4:48:48.0,4:40:29.0,3:11:20.0,13:24:17.5,+2:45:56.3
Finished,35,30,27-2,Gabriel Sindlinger,GER,yes,10011122850,M,MTB-News.de,Men,43:40.5,4:48:48.0,4:40:29.0,3:11:20.0,13:24:17.5,+2:45:56.3
Finished,36,31,16-1,Mael Desriux,FRA,yes,10048660739,M,Team VTT ERIC FAVRE MTB RACING,Men,46:47.3,5:10:11.0,4:25:41.0,3:03:25.0,13:26:04.3,+2:47:43.1
Finished,36,31,16-2,Enzo Marci,FRA,yes,10025862305,M,Team VTT ERIC FAVRE MTB RACING,Men,46:47.3,5:10:11.0,4:25:41.0,3:03:25.0,13:26:04.3,+2:47:43.1
Finished,37,5,109-1,Cindy Montambault,CAN,yes,10006458665,F,CinSan,Women,47:02.1,4:49:33.0,4:44:15.0,3:07:27.0,13:28:17.1,+2:49:55.9
Finished,37,5,109-2,Sandra Walter,CAN,yes,10004295868,F,CinSan,Women,47:02.1,4:49:33.0,4:44:15.0,3:07:27.0,13:28:17.1,+2:49:55.9
Finished,38,2,308-1,Erez Falkenstein,USA,no,,M,Boulder Aliya,Masters,54:48.5,4:54:24.0,4:31:18.0,3:09:15.0,13:29:45.5,+2:51:24.3
Finished,38,2,308-2,Matt Cooke,USA,no,,M,Boulder Aliya,Masters,54:48.5,4:54:24.0,4:31:18.0,3:09:15.0,13:29:45.5,+2:51:24.3
