Migdal Epic Israel - Stage 2
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Time,Gap
Finished,112,62,82-2,Jan Nash,ISR,no,,M,Adiga Cycling,Men,52:43.6,5:55:39.0,5:48:39.0,12:37:01.6,+4:33:11.4
Finished,113,26,310-1,Zack Uchovsky,ISR,no,,M,BikeIL,Masters,51:32.9,5:45:20.0,6:00:27.0,12:37:19.9,+4:33:29.7
Finished,113,26,310-2,Nimi Cohen,ISR,no,,M,BikeIL,Masters,51:32.9,5:45:20.0,6:00:27.0,12:37:19.9,+4:33:29.7
Finished,114,27,317-1,Ronen Heinemann,ISR,no,,M,Team BikeWay,Masters,52:45.7,5:39:44.0,6:05:19.0,12:37:48.7,+4:33:58.5
Finished,114,27,317-2,Barak Oknin,ISR,no,,M,Team BikeWay,Masters,52:45.7,5:39:44.0,6:05:19.0,12:37:48.7,+4:33:58.5
Finished,115,63,73-1,Yotam Novik,ISR,no,,M,Team Giant Mustache,Men,54:09.1,5:48:49.0,5:54:56.0,12:37:54.1,+4:34:03.9
Finished,115,63,73-2,Sagiv Kehila,ISR,no,,M,Team Giant Mustache,Men,54:09.1,5:48:49.0,5:54:56.0,12:37:54.1,+4:34:03.9
Finished,116,12,532-1,Nitzan Hendler,ISR,no,,M,IGP1,Grand Masters,49:56.4,6:00:05.0,5:48:00.0,12:38:01.4,+4:34:11.2
Finished,116,12,532-2,Nir Israeli,ISR,no,,M,IGP1,Grand Masters,49:56.4,6:00:05.0,5:48:00.0,12:38:01.4,+4:34:11.2
Finished,117,28,321-1,Shahar Tamir,ISR,no,,M,כפתורים 500,Masters,51:45.7,5:26:48.0,6:20:27.0,12:39:00.7,+4:35:10.5
Finished,117,28,321-2,Israel Shaviv,ISR,no,,M,כפתורים 500,Masters,51:45.7,5:26:48.0,6:20:27.0,12:39:00.7,+4:35:10.5
Finished,118,5,218-1,Eli Altman,ISR,no,,M,Sunshine Ladies,Mixed,55:01.4,6:06:59.0,5:37:46.0,12:39:46.4,+4:35:56.2
Finished,118,5,218-2,Amanda Genez,ISR,no,,F,Sunshine Ladies,Mixed,55:01.4,6:06:59.0,5:37:46.0,12:39:46.4,+4:35:56.2
Finished,119,13,509-1,Joerg Riedl,GER,no,,M,Maloja - Rocky Mountain Team,Grand Masters,57:09.1,6:11:53.0,5:37:48.0,12:46:50.1,+4:42:59.9
Finished,119,13,509-2,Steffen Allert,GER,no,,M,Maloja - Rocky Mountain Team,Grand Masters,57:09.1,6:11:53.0,5:37:48.0,12:46:50.1,+4:42:59.9
Finished,120,64,50-1,Jonathan Stamler,ISR,no,,M,Team Abu,Men,53:04.1,6:00:31.0,5:55:13.0,12:48:48.1,+4:44:57.9
Finished,120,64,50-2,Daniel Stamler,ISR,no,,M,Team Abu,Men,53:04.1,6:00:31.0,5:55:13.0,12:48:48.1,+4:44:57.9
Finished,121,29,338-1,Amit Gal Or,ISR,no,,M,Amit & Oren,Masters,51:30.5,5:59:55.0,5:57:56.0,12:49:21.5,+4:45:31.3
Finished,121,29,338-2,Oren Sela,ISR,no,,M,Amit & Oren,Masters,51:30.5,5:59:55.0,5:57:56.0,12:49:21.5,+4:45:31.3
Finished,122,30,311-1,Chen Tal,ISR,no,,M,Shy & Chen,Masters,51:59.4,6:13:35.0,5:45:25.0,12:50:59.4,+4:47:09.2
Finished,122,30,311-2,Shy Shyman,ISR,no,,M,Shy & Chen,Masters,51:59.4,6:13:35.0,5:45:25.0,12:50:59.4,+4:47:09.2
Finished,123,6,202-1,Eldad Ohayon,ISR,no,,M,Bike Way,Mixed,53:06.7,6:02:15.0,5:56:12.0,12:51:33.7,+4:47:43.5
Finished,123,6,202-2,Moran Feller,ISR,no,,F,Bike Way,Mixed,53:06.7,6:02:15.0,5:56:12.0,12:51:33.7,+4:47:43.5
