Migdal Epic Israel - Prologue
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Time,Gap
Finished,221,82,396-1,Raz Alon,USA,no,,M,SV707,Masters,1:00:45.9,1:00:45.9,+23:36.7
Finished,221,82,396-2,Refael Levi,USA,no,,M,SV707,Masters,1:00:45.9,1:00:45.9,+23:36.7
Finished,222,83,348-1,Erez Latner,ISR,no,,M,Mega Or,Masters,1:00:54.7,1:00:54.7,+23:45.5
Finished,222,83,348-2,Idan Laifer,ISR,no,,M,Mega Or,Masters,1:00:54.7,1:00:54.7,+23:45.5
Finished,223,84,385-1,Gil Markovitz,ISR,no,,M,Gorillas,Masters,1:01:03.2,1:01:03.2,+23:54.0
Finished,223,84,385-2,Avi Aizik,ISR,no,,M,Gorillas,Masters,1:01:03.2,1:01:03.2,+23:54.0
Finished,224,28,526-1,Eli Sherf,ISR,no,,M,eli&ami,Grand Masters,1:01:10.6,1:01:10.6,+24:01.4
Finished,224,28,526-2,Ami Shaked,ISR,no,,M,eli&ami,Grand Masters,1:01:10.6,1:01:10.6,+24:01.4
Finished,225,14,217-1,Felix Baron,ISR,no,,M,Team Shafan,Mixed,1:01:28.4,1:01:28.4,+24:19.2
Finished,225,14,217-2,Yulia Libman,ISR,no,,F,Team Shafan,Mixed,1:01:28.4,1:01:28.4,+24:19.2
Finished,226,85,322-1,Yaniv Kalif,ISR,no,,M,RuNUTS217,Masters,1:01:30.7,1:01:30.7,+24:21.5
Finished,226,85,322-2,Patricio Tanner,ISR,no,,M,RuNUTS217,Masters,1:01:30.7,1:01:30.7,+24:21.5
Finished,227,86,339-1,Yiftach Gilady,ISR,no,,M,GILADY,Masters,1:01:32.7,1:01:32.7,+24:23.5
Finished,227,86,339-2,Noam Heymann,ISR,no,,M,GILADY,Masters,1:01:32.7,1:01:32.7,+24:23.5
Finished,228,15,210-1,Avia Mor,ISR,no,,M,stavia,Mixed,1:01:33.4,1:01:33.4,+24:24.2
Finished,228,15,210-2,Stav Ginat,ISR,no,,F,stavia,Mixed,1:01:33.4,1:01:33.4,+24:24.2
Finished,229,87,316-1,Avi Friedrich,ISR,no,,M,The Rhino's,Masters,1:01:35.5,1:01:35.5,+24:26.3
Finished,229,87,316-2,Nimrod Eldar,ISR,no,,M,The Rhino's,Masters,1:01:35.5,1:01:35.5,+24:26.3
Finished,230,88,378-1,Alon Segal,ISR,no,,M,Knacken Drunken,Masters,1:01:40.5,1:01:40.5,+24:31.3
Finished,230,88,378-2,David Enbal,ISR,no,,M,Knacken Drunken,Masters,1:01:40.5,1:01:40.5,+24:31.3
Finished,231,29,523-1,Gil Weiner,ISR,no,,M,TEAMTSETSU,Grand Masters,1:01:46.9,1:01:46.9,+24:37.7
Finished,231,29,523-2,Itzik Azriel,ISR,no,,M,TEAMTSETSU,Grand Masters,1:01:46.9,1:01:46.9,+24:37.7
Finished,232,16,222-1,Robert Levin,ISR,no,,M,Roc team,Mixed,1:01:50.1,1:01:50.1,+24:40.9
Finished,232,16,222-2,Saar Burshtein,ISR,no,,F,Roc team,Mixed,1:01:50.1,1:01:50.1,+24:40.9
Finished,233,17,215-1,Nhevo Kaufman,ISR,no,,M,Kaufman's,Mixed,1:02:37.4,1:02:37.4,+25:28.2
Finished,233,17,215-2,Sigalit Kaufman,ISR,no,,F,Kaufman's,Mixed,1:02:37.4,1:02:37.4,+25:28.2
Finished,234,89,358-1,Ori Amir,ISR,no,,M,ירקונז',Masters,1:02:37.9,1:02:37.9,+25:28.7
Finished,234,89,358-2,Eli Haham,ISR,no,,M,ירקונז',Masters,1:02:37.9,1:02:37.9,+25:28.7
Finished,235,30,528-1,Michael Gdalevich,ISR,no,,M,ONE HEALTH,Grand Masters,1:02:47.6,1:02:47.6,+25:38.4
Finished,235,30,528-2,Tzahi Tzuri,ISR,no,,M,ONE HEALTH,Grand Masters,1:02:47.6,1:02:47.6,+25:38.4
Finished,236,31,517-1,Yoel Vinocur,ISR,no,,M,,Grand Masters,1:03:08.1,1:03:08.1,+25:58.9
Finished,236,31,517-2,Ezra Sharabany,ISR,no,,M,,Grand Masters,1:03:08.1,1:03:08.1,+25:58.9
Finished,237,18,209-1,Gil Aizengart,ISR,no,,M,,Mixed,1:03:13.1,1:03:13.1,+26:03.9
Finished,237,18,209-2,Orna Ratson,ISR,no,,F,,Mixed,1:03:13.1,1:03:13.1,+26:03.9
Finished,238,32,542-1,Darek Kurek,POL,no,,M,Absolutebikes,Grand Masters,1:03:17.1,1:03:17.1,+26:07.9
Finished,238,32,542-2,Krzysztof Marciniak,POL,no,,M,Absolutebikes,Grand Masters,1:03:17.1,1:03:17.1,+26:07.9
Finished,239,90,359-1,Itai Ziedenberg,ISR,no,,M,AI Riders,Masters,1:04:09.2,1:04:09.2,+27:00.0
Finished,239,90,359-2,Adar Teichner,ISR,no,,M,AI Riders,Masters,1:04:09.2,1:04:09.2,+27:00.0
Finished,240,88,43-1,Arie Margalit,ISR,no,,M,Arie & Guy,Men,1:04:12.9,1:04:12.9,+27:03.7
Finished,240,88,43-2,Guy Shuster,ISR,no,,M,Arie & Guy,Men,1:04:12.9,1:04:12.9,+27:03.7
Finished,241,89,49-1,Oren Schwartz,ISR,no,,M,OSOM,Men,1:04:20.8,1:04:20.8,+27:11.6
Finished,241,89,49-2,Or Marom,ISR,no,,M,OSOM,Men,1:04:20.8,1:04:20.8,+27:11.6
Finished,242,33,537-1,Noam Feig,ISR,no,,M,Cycologia,Grand Masters,1:04:32.6,1:04:32.6,+27:23.4
Finished,242,33,537-2,Eli Ben Shushan,ISR,no,,M,Cycologia,Grand Masters,1:04:32.6,1:04:32.6,+27:23.4
Finished,243,91,326-1,Amit Novich,ISR,no,,M,Nir@Amit,Masters,1:04:32.7,1:04:32.7,+27:23.5
Finished,243,91,326-2,Nir Nahmani,ISR,no,,M,Nir@Amit,Masters,1:04:32.7,1:04:32.7,+27:23.5
Finished,244,90,55-1,Elad Bleistein,ISR,no,,M,Freedom Riders,Men,1:04:36.8,1:04:36.8,+27:27.6
Finished,244,90,55-2,Yaron Lavie,ISR,no,,M,Freedom Riders,Men,1:04:36.8,1:04:36.8,+27:27.6
Finished,245,19,205-1,Adam Kjellstroem,SWE,no,,M,Specialized Gothenburg,Mixed,1:04:49.9,1:04:49.9,+27:40.7
Finished,245,19,205-2,Emma Igelstrom,SWE,no,,F,Specialized Gothenburg,Mixed,1:04:49.9,1:04:49.9,+27:40.7
Finished,246,92,352-1,Chen Goldfain,ISR,no,,M,Inch By inch,Masters,1:05:11.2,1:05:11.2,+28:02.0
Finished,246,92,352-2,Dudy Ashkenazy,ISR,no,,M,Inch By inch,Masters,1:05:11.2,1:05:11.2,+28:02.0
Finished,247,34,543-1,Emmanuel Elalouf,FRA,no,,M,LATTITUDE 55,Grand Masters,1:05:13.6,1:05:13.6,+28:04.4
Finished,247,34,543-2,Gilles Guelennoc,FRA,no,,M,LATTITUDE 55,Grand Masters,1:05:13.6,1:05:13.6,+28:04.4
Finished,248,93,372-1,Adi Deutsch,ISR,no,,M,team giant,Masters,1:05:28.4,1:05:28.4,+28:19.2
Finished,248,93,372-2,Lahat Mayan,ISR,no,,M,team giant,Masters,1:05:28.4,1:05:28.4,+28:19.2
Finished,249,20,213-1,Omer Yishay,ISR,no,,M,Boolish,Mixed,1:07:18.9,1:07:18.9,+30:09.7
Finished,249,20,213-2,Nirit Sarig,ISR,no,,F,Boolish,Mixed,1:07:18.9,1:07:18.9,+30:09.7
Finished,250,21,221-1,Arik Kleiman,ISR,no,,M,The Klaimans,Mixed,1:07:44.1,1:07:44.1,+30:34.9
Finished,250,21,221-2,Ayelet Kleiman,ISR,no,,F,The Klaimans,Mixed,1:07:44.1,1:07:44.1,+30:34.9
Finished,251,35,516-1,Ofer Ben Michael,ISR,no,,M,Team Poleg,Grand Masters,1:08:21.6,1:08:21.6,+31:12.4
Finished,251,35,516-2,Eli Shaked,ISR,no,,M,Team Poleg,Grand Masters,1:08:21.6,1:08:21.6,+31:12.4
Finished,252,36,527-1,Barak Pikarski,ISR,no,,M,The next challenge,Grand Masters,1:08:40.1,1:08:40.1,+31:30.9
Finished,252,36,527-2,Eyal Kaufman,ISR,no,,M,The next challenge,Grand Masters,1:08:40.1,1:08:40.1,+31:30.9
Finished,253,37,519-1,Alon Wolf,ISR,no,,M,Ofnaim baemek,Grand Masters,1:10:34.4,1:10:34.4,+33:25.2
Finished,253,37,519-2,Yariv Alon,ISR,no,,M,Ofnaim baemek,Grand Masters,1:10:34.4,1:10:34.4,+33:25.2
Finished,254,38,508-1,Reiner Fritz,GER,no,,M,derfaller2,Grand Masters,1:11:36.8,1:11:36.8,+34:27.6
Finished,254,38,508-2,Edwin Urs Schlaegel,GER,no,,M,derfaller2,Grand Masters,1:11:36.8,1:11:36.8,+34:27.6
Finished,255,94,390-1,Erez Raymond,ISR,no,,M,Raymond?s,Masters,1:13:05.9,1:13:05.9,+35:56.7
Finished,255,94,390-2,Doron Raymond,ISR,no,,M,Raymond?s,Masters,1:13:05.9,1:13:05.9,+35:56.7
Finished,256,95,384-1,Emanuel Stanciu,ISR,no,,M,Egozi,Masters,1:14:34.2,1:14:34.2,+37:25.0
Finished,256,95,384-2,Gilles Attal,ISR,no,,M,Egozi,Masters,1:14:34.2,1:14:34.2,+37:25.0
Finished,257,39,544-1,Avihu Raymond,ISR,no,,M,Avi & Moti,Grand Masters,1:15:02.9,1:15:02.9,+37:53.7
Finished,257,39,544-2,Moti Cohen,RSA,no,,M,Avi & Moti,Grand Masters,1:15:02.9,1:15:02.9,+37:53.7
Finished,258,40,541-1,Matityahu Eldad,ISR,no,,M,Team Bill 2,Grand Masters,1:28:43.3,1:28:43.3,+51:34.1
Finished,258,40,541-2,Erez Cohen,ISR,no,,M,Team Bill 2,Grand Masters,1:28:43.3,1:28:43.3,+51:34.1
Finished,259,22,208-1,Guy Gill,ISR,no,,M,ZONE3,Mixed,1:30:03.1,1:30:03.1,+52:53.9
Finished,259,22,208-2,Limor Hagani,ISR,no,,F,ZONE3,Mixed,1:30:03.1,1:30:03.1,+52:53.9
Finished,260,91,35-1,Alexander Sonis,ISR,no,,M,Cyclink Israel,Men,1:34:45.3,1:34:45.3,+57:36.1
Finished,260,91,35-2,Marcel Leyton,ISR,no,,M,Cyclink Israel,Men,1:34:45.3,1:34:45.3,+57:36.1
Finished,261,92,65-1,Yony Kalush,ISR,no,,M,Team Vigo home,Men,1:39:44.2,1:39:44.2,+1:02:35.0
Finished,261,92,65-2,Yoav Garibi,ISR,no,,M,Team Vigo home,Men,1:39:44.2,1:39:44.2,+1:02:35.0
Finished,262,96,391-1,Udi Abadi-Fishel,ISR,no,,M,Country Club Gan Evron,Masters,1:49:15.3,1:49:15.3,+1:12:06.1
Finished,262,96,391-2,Alon Cohen,ISR,no,,M,Country Club Gan Evron,Masters,1:49:15.3,1:49:15.3,+1:12:06.1
,,,97-1,Mosa Shogan,ISR,no,,M,Adiga Cycling,Men,-,-,-
IF2,,,97-2,Sausar Sagas,ISR,no,,M,Adiga Cycling,Men,49:43.8,49:43.8,+12:34.6
IF1,,,79-1,Aviad Rayfer,ISR,no,,M,THE RAYFER'S,Men,58:36.8,58:36.8,+21:27.6
,,,79-2,Itay Rayfer,ISR,no,,M,THE RAYFER'S,Men,-,-,-
DNS,,,40-1,Patxi Cia,ESP,no,,M,Izquierdo Ib??ez-ciclos Montoya,Men,-,-,-
DNS,,,40-2,Victor Maestra sola,ESP,no,,M,Izquierdo Ib??ez-ciclos Montoya,Men,-,-,-
DNS,,,515-1,Avner Maimon,ISR,no,,M,AM²,Grand Masters,-,-,-
DNS,,,515-2,Ari Margolis,ISR,no,,M,AM²,Grand Masters,-,-,-
DSQ,,,220-1,Dany Yakovson,ISR,no,,M,d.m,Mixed,59:18.4,-,-
DSQ,,,220-2,Maor Meir Shafrir,ISR,no,,F,d.m,Mixed,59:18.4,-,-
