אנדורו
מרוץ 1 עונת 2017 - אום זוקא - 31-12-2016
E1
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
4,21,יהב פייגין,9,1:01:34.573,3 הקפות,5:34.301
הקפה מהירה: (47) סוף סלע - 5:07.355
ג'וניורס עממי
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,32,שלו ווקנין,10,1:05:30.420,,5:41.518
2,40,רז עידן,10,1:05:35.332,4.912,5:53.117
3,84,גיא דוברובסקי,9,1:08:56.676,1 הקפה,6:19.410
4,10,בועז ססי,8,1:01:05.699,2 הקפות,6:31.195
5,75,ידין נאפסו,8,1:02:17.337,2 הקפות,6:42.737
6,44,ניב סבן,8,1:05:22.601,2 הקפות,6:31.461
7,78,אורי אברהם,7,1:02:02.393,3 הקפות,7:40.206
8,101,רן יוחאי,2,1:00:39.975,8 הקפות,49:47.061
הקפה מהירה: (32) שלו ווקנין - 5:41.518
סופר ג'וניורס מקצועי
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,1,בן אלמגור,13,41:26.208,,2:20.253
2,66,אור זרקו,13,42:35.759,1:09.551,2:51.257
3,27,אופיר צמח,12,40:59.213,1 הקפה,2:35.089
4,77,ארז מלמן,12,41:02.380,1 הקפה,2:52.082
הקפה מהירה: (1) בן אלמגור - 2:20.253
סופר ג'וניורס עממי
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,87,מעין חמאוי,10,43:07.005,,3:30.215
2,67,ירין כהן,8,42:43.655,2 הקפות,3:58.490
הקפה מהירה: (87) מעין חמאוי - 3:30.215
מהלך המירוץ
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,הקפה 11,הקפה 12,הקפה 13
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,66,66,66,66,66,66,66,66,66,66,66,66,66
3,77,77,77,77,27,27,27,27,27,27,27,27,
4,47,27,27,27,77,77,77,77,77,77,77,77,
5,33,47,87,87,87,87,87,87,87,87,47,47,
6,27,87,47,47,47,47,67,67,47,47,33,,
7,11,33,33,33,67,67,47,47,33,33,,,
8,21,11,67,67,33,33,33,33,11,11,,,
9,32,21,11,11,11,11,21,11,32,32,,,
10,67,67,21,21,21,21,11,32,40,40,,,
11,84,40,40,40,40,40,32,40,21,,,,
12,40,32,32,32,32,32,40,21,84,,,,
13,87,84,84,84,84,84,84,84,,,,,
14,75,75,75,75,75,75,75,10,,,,,
15,10,10,10,10,10,10,10,75,,,,,
16,101,78,78,44,44,44,44,44,,,,,
17,78,44,44,78,78,78,78,,,,,,
18,44,101,,,,,,,,,,,
